Trait	Gene.Symbol	Entrez.Gene.Id	Sources
height	GNAS	2778	HDO,MONDO
height	BRAF	673	HDO,MONDO
height	SHOX	6473	HDO,MONDO
height	CHST3	9469	HDO,MONDO
height	KMT2D	8085	HDO,MONDO
height	ANKRD11	29123	HDO,MONDO
height	FBN1	2200	HDO,MONDO
height	PTPN11	5781	HDO,MONDO
height	MYH3	4621	HDO,MONDO
height	WNT5A	7474	HDO,MONDO
height	CREBBP	1387	HDO,MONDO
height	RAI1	10743	HDO,MONDO
height	COL2A1	1280	HDO,MONDO
height	TRPS1	7227	HDO,MONDO
height	PCNT	5116	HDO,MONDO
height	BLM	641	HDO,MONDO
height	RECQL4	9401	HDO,MONDO
height	MPLKIP	136647	HDO,MONDO
height	SMARCAL1	50485	HDO,MONDO
height	TUBGCP6	85378	HDO,MONDO
height	CANT1	124583	HDO,MONDO
height	CHRNA1	1134	HDO,MONDO
height	CHRND	1144	HDO,MONDO
height	CHRNG	1146	HDO,MONDO
height	STAC3	246329	HDO,MONDO
height	PHKB	5257	HDO,MONDO
height	GHR	2690	HDO,MONDO
height	ROR2	4920	HDO,MONDO
height	FLNB	2317	HDO,MONDO
height	SPART	23111	HDO,MONDO
height	ADAMTS10	81794	HDO,MONDO
height	CUL4B	8450	HDO,MONDO
height	IGBP1	3476	HDO,MONDO
height	KDM5C	8242	HDO,MONDO
height	KDM6A	7403	HDO,MONDO
height	PQBP1	10084	HDO,MONDO
height	SMS	6611	HDO,MONDO
height	LAS1L	81887	HDO,MONDO
height	LTBP3	4054	HDO,MONDO
height	USB1	79650	HDO,MONDO
height	RMRP	6023	HDO,MONDO
height	KRAS	3845	HDO,MONDO
height	FGFR3	2261	HDO,MONDO
height	SOS1	6654	HDO,MONDO
height	RAF1	5894	HDO,MONDO
height	RNF168	165918	HDO,MONDO
height	RSPH4A	345895	HDO,MONDO
height	GH1	2688	HDO,MONDO
height	PAPSS2	9060	HDO,MONDO
height	ADAMTS17	170691	HDO,MONDO
height	NRAS	4893	HDO,MONDO
height	PTHLH	5744	HDO,MONDO
height	EP300	2033	HDO,MONDO
height	LTBP2	4053	HDO,MONDO
height	MAP2K1	5604	HDO,MONDO
height	MAP2K2	5605	HDO,MONDO
height	B3GALT6	126792	HDO,MONDO
height	RIT1	6016	HDO,MONDO
height	XYLT1	64131	HDO,MONDO
height	NPR2	4882	HDO,MONDO
height	PLK4	10733	HDO,MONDO
height	DVL1	1855	HDO,MONDO
height	SOS2	6655	HDO,MONDO
height	LZTR1	8216	HDO,MONDO
height	DVL3	1857	HDO,MONDO
t2d	HNF4A	3172	HDO,MONDO
t2d	GCK	2645	HDO,MONDO
t2d	GPD2	2820	HDO,MONDO
t2d	NEUROD1	4760	HDO,MONDO
t2d	IRS1	3667	HDO,MONDO
t2d	PPARG	5468	HDO,MONDO
t2d	SLC2A2	6514	HDO,MONDO
t2d	IGF2BP2	10644	HDO,MONDO
t2d	WFS1	7466	HDO,MONDO
t2d	HMGA1	3159	HDO,MONDO
t2d	ENPP1	5167	HDO,MONDO
t2d	PPP1R3A	5506	HDO,MONDO
t2d	PAX4	5078	HDO,MONDO
t2d	SLC30A8	169026	HDO,MONDO
t2d	TCF7L2	6934	HDO,MONDO
t2d	KCNJ11	3767	HDO,MONDO
