trait	snp.locus	snp.name	gene.gid	gene.eid	gene.name	snp.pos	is.leadsnp	locus.chrom	locus.chrom.start	locus.chrom.end	locus.name	gene.chrom.start	gene.chrom.end	gene.strand	gene.tss	snp.tss.dist	snp.gene.dist	is.gene.overlap	is.nearest.to.tss	maf	beta	se	z	prob	log10bf	log10bf_group	prob_group	dbsnp.func	is.dbsnp.delit	snpeff.impact	snpeff.rank	is.snpeff.delit	snp.in.trait.DHS	nearest.trait.DHS.from.gene	nearest.gene.from.trait.DHS	snp.in.DHS	nearest.DHS.from.gene	nearest.gene.from.DHS	in.gtex
dbp	L1	rs4648815	163688	ENSG00000169885	CALML6	1687151	FALSE	chr1	1434472	1934473	L1	1846266	1848735	+	1846266	-159115	-159115	FALSE	TRUE	0.4744	0.0141338	0.00218395	6.47167	0.233975	2.39823	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	10	TRUE	FALSE	FALSE
dbp	L1	rs4648815	2782	ENSG00000078369	GNB1	1687151	FALSE	chr1	1434472	1934473	L1	1716724	1822556	-	1822556	135405	29573	FALSE	TRUE	0.4744	0.0141338	0.00218395	6.47167	0.233975	2.39823	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	10	TRUE	FALSE	FALSE
dbp	L1	rs4648815	339456	ENSG00000178821	TMEM52	1687151	FALSE	chr1	1434472	1934473	L1	1849029	1850712	-	1850712	163561	161878	FALSE	TRUE	0.4744	0.0141338	0.00218395	6.47167	0.233975	2.39823	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	10	TRUE	FALSE	FALSE
dbp	L1	rs4648815	65220	ENSG00000008130	NADK	1687151	FALSE	chr1	1434472	1934473	L1	1682671	1711896	-	1711896	24745	0	TRUE	TRUE	0.4744	0.0141338	0.00218395	6.47167	0.233975	2.39823	3.92101	0.910546	intron	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	10	TRUE	FALSE	TRUE
dbp	L1	rs4648815	85452	ENSG00000142609	CFAP74	1687151	FALSE	chr1	1434472	1934473	L1	1853390	1935276	-	1935276	248125	166239	FALSE	TRUE	0.4744	0.0141338	0.00218395	6.47167	0.233975	2.39823	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	10	TRUE	FALSE	FALSE
dbp	L1	rs4648815	9906	ENSG00000215790	SLC35E2A	1687151	FALSE	chr1	1434472	1934473	L1	1656277	1677438	-	1677438	-9713	-9713	FALSE	FALSE	0.4744	0.0141338	0.00218395	6.47167	0.233975	2.39823	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	10	FALSE	TRUE	FALSE
dbp	L1	rs7407	142678	ENSG00000197530	MIB2	1684471	TRUE	chr1	1434472	1934473	L1	1550795	1565990	+	1550795	133676	118481	FALSE	TRUE	0.484363	0.0140799	0.002168	6.49442	0.330661	2.60704	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	11	TRUE	FALSE	FALSE
dbp	L1	rs7407	29101	ENSG00000160075	SSU72	1684471	TRUE	chr1	1434472	1934473	L1	1477053	1510249	-	1510249	-174222	-174222	FALSE	TRUE	0.484363	0.0140799	0.002168	6.49442	0.330661	2.60704	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	11	TRUE	FALSE	FALSE
dbp	L1	rs7407	339453	ENSG00000205090	TMEM240	1684471	TRUE	chr1	1434472	1934473	L1	1470554	1475833	-	1475833	-208638	-208638	FALSE	TRUE	0.484363	0.0140799	0.002168	6.49442	0.330661	2.60704	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	11	TRUE	FALSE	FALSE
dbp	L1	rs7407	55210	ENSG00000197785	ATAD3A	1684471	TRUE	chr1	1434472	1934473	L1	1447531	1470067	+	1447531	236940	214404	FALSE	TRUE	0.484363	0.0140799	0.002168	6.49442	0.330661	2.60704	3.92101	0.910546	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	11	TRUE	FALSE	FALSE
