trait	snp.locus	snp.name	gene.gid	gene.eid	gene.name	snp.pos	is.leadsnp	locus.chrom	locus.chrom.start	locus.chrom.end	locus.name	gene.chrom.start	gene.chrom.end	gene.strand	gene.tss	snp.tss.dist	snp.gene.dist	is.gene.overlap	is.nearest.to.tss	maf	beta	se	z	prob	log10bf	log10bf_group	prob_group	dbsnp.func	is.dbsnp.delit	snpeff.impact	snpeff.rank	is.snpeff.delit	snp.in.trait.DHS	nearest.trait.DHS.from.gene	nearest.gene.from.trait.DHS	snp.in.DHS	nearest.DHS.from.gene	nearest.gene.from.DHS	in.gtex
lowtsh	L1	rs4567233	118424	ENSG00000160087	UBE2J2	1185259	FALSE	chr1	936502	1436503	L1	1189289	1209265	-	1209265	24006	4030	FALSE	FALSE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	1	FALSE	FALSE	FALSE
lowtsh	L1	rs4567233	126792	ENSG00000176022	B3GALT6	1185259	FALSE	chr1	936502	1436503	L1	1167606	1170421	+	1167606	17653	14838	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	TRUE
lowtsh	L1	rs4567233	254173	ENSG00000162571	TTLL10	1185259	FALSE	chr1	936502	1436503	L1	1109264	1133315	+	1109264	75995	51944	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	FALSE
lowtsh	L1	rs4567233	375790	ENSG00000188157	AGRN	1185259	FALSE	chr1	936502	1436503	L1	955503	991498	+	955503	229756	193761	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	FALSE
lowtsh	L1	rs4567233	388581	ENSG00000184163	C1QTNF12	1185259	FALSE	chr1	936502	1436503	L1	1177826	1182102	-	1182102	-3157	-3157	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	TRUE	FALSE
lowtsh	L1	rs4567233	401934	ENSG00000237330	RNF223	1185259	FALSE	chr1	936502	1436503	L1	1006346	1009687	-	1009687	-175572	-175572	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	FALSE
lowtsh	L1	rs4567233	51150	ENSG00000078808	SDF4	1185259	FALSE	chr1	936502	1436503	L1	1152288	1167411	-	1167411	-17848	-17848	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	FALSE
lowtsh	L1	rs4567233	54991	ENSG00000131591	C1orf159	1185259	FALSE	chr1	936502	1436503	L1	1017198	1051741	-	1051741	-133518	-133518	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	FALSE
lowtsh	L1	rs4567233	7293	ENSG00000186827	TNFRSF4	1185259	FALSE	chr1	936502	1436503	L1	1146706	1149518	-	1149518	-35741	-35741	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	FALSE
lowtsh	L1	rs4567233	8784	ENSG00000186891	TNFRSF18	1185259	FALSE	chr1	936502	1436503	L1	1138888	1142071	-	1142071	-43188	-43188	FALSE	TRUE	0.119932	0.00413308	0.000784571	5.26795	0.144104	2.30091	2.98696	0.449688	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	1	TRUE	FALSE	TRUE
