trait	snp.locus	snp.name	gene.gid	gene.eid	gene.name	snp.pos	is.leadsnp	locus.chrom	locus.chrom.start	locus.chrom.end	locus.name	gene.chrom.start	gene.chrom.end	gene.strand	gene.tss	snp.tss.dist	snp.gene.dist	is.gene.overlap	is.nearest.to.tss	maf	beta	se	z	prob	log10bf	log10bf_group	prob_group	dbsnp.func	is.dbsnp.delit	snpeff.impact	snpeff.rank	is.snpeff.delit	snp.in.trait.DHS	nearest.trait.DHS.from.gene	nearest.gene.from.trait.DHS	snp.in.DHS	nearest.DHS.from.gene	nearest.gene.from.DHS	in.gtex
sbp	L10	rs10864482	148345	ENSG00000175262	C1orf127	10995319	FALSE	chr1	10546547	11046548	L10	11006528	11042094	-	11042094	46775	11209	FALSE	FALSE	0.257261	-0.0111271	0.00251744	-4.42001	0.0963424	2.04969	3.07825	0.532406	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	9	FALSE	TRUE	FALSE
sbp	L10	rs17035646	5195	ENSG00000142655	PEX14	10796546	TRUE	chr1	10546547	11046548	L10	10532345	10690815	+	10532345	264201	105731	FALSE	FALSE	0.337681	-0.0284703	0.00230299	-12.3623	0.568656	3.1419	7.76716	0.999982	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	2	TRUE	FALSE	FALSE
sbp	L10	rs17035646	54897	ENSG00000130940	CASZ1	10796546	TRUE	chr1	10546547	11046548	L10	10696661	10856707	-	10856707	60161	0	TRUE	FALSE	0.337681	-0.0284703	0.00230299	-12.3623	0.568656	3.1419	7.76716	0.999982	intron	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	2	FALSE	TRUE	FALSE
sbp	L10	rs34071855	54897	ENSG00000130940	CASZ1	10798488	FALSE	chr1	10546547	11046548	L10	10696661	10856707	-	10856707	58219	0	TRUE	TRUE	0.340587	-0.0282745	0.00229467	-12.3218	0.357257	2.76682	7.76716	0.999982	intron	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	11	TRUE	TRUE	FALSE
sbp	L10	rs6656310	148345	ENSG00000175262	C1orf127	11002487	FALSE	chr1	10546547	11046548	L10	11006528	11042094	-	11042094	39607	4041	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	MODIFIER	1	FALSE	2	TRUE	TRUE	57	FALSE	TRUE	FALSE
sbp	L10	rs6656310	199953	ENSG00000188807	TMEM201	11002487	FALSE	chr1	9190005	9690006	L9	9648980	9674931	+	9648980	1353507	1327556	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
sbp	L10	rs6656310	2023	ENSG00000074800	ENO1	11002487	FALSE	chr1	8234228	8995808	L7|L8	8921059	8939309	-	8939309	-2063178	-2063178	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
sbp	L10	rs6656310	473	ENSG00000142599	RERE	11002487	FALSE	chr1	8234228	8995808	L7|L8	8412457	8877702	-	8877702	-2124785	-2124785	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
sbp	L10	rs6656310	50651	ENSG00000162426	SLC45A1	11002487	FALSE	chr1	8234228	8995808	L7|L8	8377886	8404227	+	8377886	2624601	2598260	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
sbp	L10	rs6656310	5195	ENSG00000142655	PEX14	11002487	FALSE	chr1	10546547	11046548	L10	10532345	10690815	+	10532345	470142	311672	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
sbp	L10	rs6656310	54897	ENSG00000130940	CASZ1	11002487	FALSE	chr1	10546547	11046548	L10	10696661	10856707	-	10856707	-145780	-145780	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
sbp	L10	rs6656310	80176	ENSG00000171621	SPSB1	11002487	FALSE	chr1	9190005	9690006	L9	9352939	9429591	+	9352939	1649548	1572896	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
sbp	L10	rs6656310	84275	ENSG00000171612	SLC25A33	11002487	FALSE	chr1	9190005	9690006	L9	9599541	9645237	+	9599541	1402946	1357250	FALSE	FALSE	0.261996	-0.0108955	0.00248035	-4.39273	0.101119	2.07301	3.07825	0.532406	none	FALSE	NONE	0	FALSE	2	TRUE	FALSE	57	FALSE	FALSE	FALSE
