trait	snp.locus	snp.name	gene.gid	gene.eid	gene.name	snp.pos	is.leadsnp	locus.chrom	locus.chrom.start	locus.chrom.end	locus.name	gene.chrom.start	gene.chrom.end	gene.strand	gene.tss	snp.tss.dist	snp.gene.dist	is.gene.overlap	is.nearest.to.tss	maf	beta	se	z	prob	log10bf	log10bf_group	prob_group	dbsnp.func	is.dbsnp.delit	snpeff.impact	snpeff.rank	is.snpeff.delit	snp.in.trait.DHS	nearest.trait.DHS.from.gene	nearest.gene.from.trait.DHS	snp.in.DHS	nearest.DHS.from.gene	nearest.gene.from.DHS	in.gtex
t2d	L10	rs348330	10638	ENSG00000213029	SPHAR	229672954	TRUE	chr1	229422955	229922956	L10	229440604	229441251	+	229440604	232350	231703	FALSE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	none	FALSE	NONE	0	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	FALSE
t2d	L10	rs348330	126731	ENSG00000154429	CCSAP	229672954	TRUE	chr1	229422955	229922956	L10	229456752	229479041	-	229479041	-193913	-193913	FALSE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	none	FALSE	NONE	0	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	FALSE
t2d	L10	rs348330	23456	ENSG00000135776	ABCB10	229672954	TRUE	chr1	229422955	229922956	L10	229652329	229694442	-	229694442	21488	0	TRUE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	intron	FALSE	MODIFIER	1	FALSE	1	TRUE	TRUE	3	TRUE	TRUE	FALSE
t2d	L10	rs348330	27097	ENSG00000135801	TAF5L	229672954	TRUE	chr1	229422955	229922956	L10	229728858	229761794	-	229761794	88840	55904	FALSE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	none	FALSE	NONE	0	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	FALSE
t2d	L10	rs348330	55746	ENSG00000069248	NUP133	229672954	TRUE	chr1	229422955	229922956	L10	229576007	229644088	-	229644088	-28866	-28866	FALSE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	none	FALSE	NONE	0	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	FALSE
t2d	L10	rs348330	58	ENSG00000143632	ACTA1	229672954	TRUE	chr1	229422955	229922956	L10	229566992	229569845	-	229569845	-103109	-103109	FALSE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	none	FALSE	NONE	0	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	FALSE
t2d	L10	rs348330	5867	ENSG00000168118	RAB4A	229672954	TRUE	chr1	229422955	229922956	L10	229406809	229441641	+	229406809	266145	231313	FALSE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	none	FALSE	NONE	0	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	FALSE
t2d	L10	rs348330	9816	ENSG00000135763	URB2	229672954	TRUE	chr1	229422955	229922956	L10	229761981	229795946	+	229761981	-89027	-89027	FALSE	TRUE	0.36	0.052	0.0078	6.66667	0.971511	4.45206	4.45206	0.971511	none	FALSE	NONE	0	FALSE	1	TRUE	FALSE	3	TRUE	FALSE	FALSE
t2d	L100	rs1303722	2645	ENSG00000106633	GCK	44219073	FALSE	chr7	44005643	44505644	L100	44183870	44237769	-	44237769	18696	0	TRUE	FALSE	0.49	-0.051	0.0075	-6.8	0.137402	2.14653	3.44856	0.761512	intron	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	14	FALSE	TRUE	FALSE
t2d	L100	rs2041547	165	ENSG00000106624	AEBP1	44200883	FALSE	chr7	44005643	44505644	L100	44143960	44154161	+	44143960	56923	46722	FALSE	TRUE	0.48	-0.05	0.0075	-6.66667	0.161827	2.23007	3.44856	0.761512	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	8	TRUE	FALSE	FALSE
