trait	snp.locus	snp.name	gene.gid	gene.eid	gene.name	snp.pos	is.leadsnp	locus.chrom	locus.chrom.start	locus.chrom.end	locus.name	gene.chrom.start	gene.chrom.end	gene.strand	gene.tss	snp.tss.dist	snp.gene.dist	is.gene.overlap	is.nearest.to.tss	maf	beta	se	z	prob	log10bf	log10bf_group	prob_group	dbsnp.func	is.dbsnp.delit	snpeff.impact	snpeff.rank	is.snpeff.delit	snp.in.trait.DHS	nearest.trait.DHS.from.gene	nearest.gene.from.trait.DHS	snp.in.DHS	nearest.DHS.from.gene	nearest.gene.from.DHS	in.gtex
rbc	L1	rs4648633	11079	ENSG00000157916	RER1	2320701	FALSE	chr1	2061393	2561394	L1	2323214	2336883	+	2323214	-2513	-2513	FALSE	FALSE	0.247488	-0.0128656	0.0023614	-5.44829	0.351978	2.80047	3.73278	0.822934	none	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	10	FALSE	FALSE	FALSE
rbc	L1	rs4648633	79906	ENSG00000116151	MORN1	2320701	FALSE	chr1	2061393	2561394	L1	2252692	2323146	-	2323146	2445	0	TRUE	FALSE	0.247488	-0.0128656	0.0023614	-5.44829	0.351978	2.80047	3.73278	0.822934	intron	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	10	FALSE	TRUE	TRUE
rbc	L1	rs61760819	199990	ENSG00000162585	FAAP20	2311392	TRUE	chr1	2061393	2561394	L1	2115900	2144159	-	2144159	-167233	-167233	FALSE	TRUE	0.248348	-0.0128574	0.00235295	-5.46437	0.383499	2.85938	3.73278	0.822934	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	17	TRUE	FALSE	FALSE
rbc	L1	rs61760819	6497	ENSG00000157933	SKI	2311392	TRUE	chr1	2061393	2561394	L1	2160134	2241558	+	2160134	151258	69834	FALSE	TRUE	0.248348	-0.0128574	0.00235295	-5.46437	0.383499	2.85938	3.73278	0.822934	none	FALSE	NONE	0	FALSE	0	FALSE	FALSE	17	TRUE	FALSE	FALSE
rbc	L1	rs61760819	79906	ENSG00000116151	MORN1	2311392	TRUE	chr1	2061393	2561394	L1	2252692	2323146	-	2323146	11754	0	TRUE	FALSE	0.248348	-0.0128574	0.00235295	-5.46437	0.383499	2.85938	3.73278	0.822934	intron	FALSE	MODIFIER	1	FALSE	0	FALSE	FALSE	17	FALSE	TRUE	FALSE
rbc	L1	rs77804600	11079	ENSG00000157916	RER1	2323040	FALSE	chr1	2061393	2561394	L1	2323214	2336883	+	2323214	-174	-174	FALSE	TRUE	0.255226	-0.0121949	0.00235167	-5.18563	0.0874565	2.04709	3.73278	0.822934	none	FALSE	MODIFIER	1	FALSE	3	TRUE	FALSE	159	TRUE	FALSE	FALSE
rbc	L1	rs77804600	127281	ENSG00000157870	PRXL2B	2323040	FALSE	chr1	2061393	2561394	L1	2517930	2522908	+	2517930	-194890	-194890	FALSE	TRUE	0.255226	-0.0121949	0.00235167	-5.18563	0.0874565	2.04709	3.73278	0.822934	none	FALSE	NONE	0	FALSE	3	TRUE	FALSE	159	TRUE	FALSE	FALSE
rbc	L1	rs77804600	140625	ENSG00000169717	ACTRT2	2323040	FALSE	chr1	2746602	3941529	L2|L3|L4|L5	2938047	2939467	+	2938047	-615007	-615007	FALSE	FALSE	0.255226	-0.0121949	0.00235167	-5.18563	0.0874565	2.04709	3.73278	0.822934	none	FALSE	NONE	0	FALSE	3	TRUE	FALSE	159	FALSE	FALSE	FALSE
rbc	L1	rs77804600	199990	ENSG00000162585	FAAP20	2323040	FALSE	chr1	2061393	2561394	L1	2115900	2144159	-	2144159	-178881	-178881	FALSE	FALSE	0.255226	-0.0121949	0.00235167	-5.18563	0.0874565	2.04709	3.73278	0.822934	none	FALSE	NONE	0	FALSE	3	TRUE	FALSE	159	FALSE	FALSE	FALSE
rbc	L1	rs77804600	388585	ENSG00000197921	HES5	2323040	FALSE	chr1	2061393	2561394	L1	2460184	2461684	-	2461684	138644	137144	FALSE	TRUE	0.255226	-0.0121949	0.00235167	-5.18563	0.0874565	2.04709	3.73278	0.822934	none	FALSE	NONE	0	FALSE	3	TRUE	FALSE	159	TRUE	FALSE	FALSE
